x amp: 25.781   | y amp: 164.626  | z amp: 146.530  
x amp: 18.481   | y amp: 163.017  | z amp: 149.552  
x amp: 20.186   | y amp: 161.301  | z amp: 145.404  
x amp: 37.726   | y amp: 161.338  | z amp: 148.512  
x amp: 33.104   | y amp: 158.506  | z amp: 146.636  
x amp: 19.898   | y amp: 163.577  | z amp: 145.026  
x amp: 19.851   | y amp: 162.434  | z amp: 143.353  
x amp: 21.679   | y amp: 163.155  | z amp: 143.785  
x amp: 20.583   | y amp: 163.201  | z amp: 141.893  
x amp: 27.264   | y amp: 163.380  | z amp: 145.914  
x amp: 34.464   | y amp: 162.837  | z amp: 138.900  
x amp: 49.334   | y amp: 161.135  | z amp: 155.888  
x amp: 19.691   | y amp: 163.296  | z amp: 144.462  
x amp: 17.198   | y amp: 163.624  | z amp: 144.848  
x amp: 19.104   | y amp: 162.369  | z amp: 145.510  
x amp: 18.786   | y amp: 163.160  | z amp: 144.984  
x amp: 23.450   | y amp: 163.603  | z amp: 143.234  
x amp: 4.843    | y amp: 162.199  | z amp: 143.854  
x amp: 20.888   | y amp: 163.574  | z amp: 142.761  
x amp: 23.362   | y amp: 163.058  | z amp: 148.036  
x amp: 24.636   | y amp: 163.167  | z amp: 149.244  
x amp: 20.934   | y amp: 162.397  | z amp: 144.091  
x amp: 22.694   | y amp: 162.903  | z amp: 144.820  
x amp: 44.987   | y amp: 163.829  | z amp: 143.654  
x amp: 43.765   | y amp: 159.347  | z amp: 117.600  
x amp: 24.988   | y amp: 162.483  | z amp: 147.604  
x amp: 17.956   | y amp: 164.371  | z amp: 144.910  
x amp: 22.302   | y amp: 161.466  | z amp: 143.772  
x amp: 19.999   | y amp: 162.438  | z amp: 144.284  
x amp: 18.789   | y amp: 162.242  | z amp: 130.190  
x amp: 45.839   | y amp: 162.690  | z amp: 145.577  
x amp: 42.228   | y amp: 165.630  | z amp: 127.580  
x amp: 20.710   | y amp: 162.312  | z amp: 143.038  
x amp: 20.367   | y amp: 162.684  | z amp: 146.398  
x amp: 17.318   | y amp: 163.148  | z amp: 146.235  
x amp: 19.263   | y amp: 163.035  | z amp: 140.991  
x amp: 19.636   | y amp: 163.148  | z amp: 148.193  
x amp: 32.188   | y amp: 161.953  | z amp: 141.531  
x amp: 22.579   | y amp: 163.064  | z amp: 155.439  
x amp: 17.388   | y amp: 163.330  | z amp: 128.815  
x amp: 18.797   | y amp: 161.702  | z amp: 141.639  
x amp: 21.279   | y amp: 162.325  | z amp: 144.898  
x amp: 22.369   | y amp: 163.250  | z amp: 144.115  
x amp: 18.910   | y amp: 163.922  | z amp: 144.664  
x amp: 26.064   | y amp: 162.043  | z amp: 147.455  
x amp: 29.638   | y amp: 159.759  | z amp: 111.427  
x amp: 25.064   | y amp: 163.849  | z amp: 150.869  
x amp: 24.804   | y amp: 163.637  | z amp: 145.959  
x amp: 18.932   | y amp: 163.724  | z amp: 145.808  
x amp: 19.678   | y amp: 162.904  | z amp: 141.500  
x amp: 16.874   | y amp: 162.540  | z amp: 142.306  
x amp: 43.719   | y amp: 163.918  | z amp: 146.416  
x amp: 46.828   | y amp: 162.752  | z amp: 109.141  
x amp: 17.974   | y amp: 162.597  | z amp: 148.047  
x amp: 17.360   | y amp: 163.615  | z amp: 142.539  
x amp: 19.551   | y amp: 162.921  | z amp: 147.495  
x amp: 18.281   | y amp: 162.375  | z amp: 141.310  
x amp: 22.584   | y amp: 161.728  | z amp: 138.622  
x amp: 16.430   | y amp: 163.216  | z amp: 139.771  
x amp: 24.752   | y amp: 163.108  | z amp: 141.565  
x amp: 26.870   | y amp: 162.181  | z amp: 143.591  
x amp: 13.083   | y amp: 163.235  | z amp: 143.820  
x amp: 16.579   | y amp: 162.888  | z amp: 146.076  
x amp: 22.121   | y amp: 162.524  | z amp: 145.503  
x amp: 41.605   | y amp: 162.931  | z amp: 151.376  
x amp: 29.646   | y amp: 160.815  | z amp: 131.290  
x amp: 17.522   | y amp: 162.909  | z amp: 137.618  
x amp: 19.945   | y amp: 163.456  | z amp: 143.030  
x amp: 24.458   | y amp: 162.104  | z amp: 148.954  
x amp: 22.774   | y amp: 162.988  | z amp: 147.101  
x amp: 20.886   | y amp: 163.218  | z amp: 140.622  
x amp: 19.025   | y amp: 163.233  | z amp: 144.004  
x amp: 26.982   | y amp: 163.491  | z amp: 145.133  
x amp: 19.466   | y amp: 162.841  | z amp: 146.189  
x amp: 20.912   | y amp: 162.323  | z amp: 146.744  
x amp: 31.678   | y amp: 161.674  | z amp: 154.947  
x amp: 23.484   | y amp: 162.307  | z amp: 147.622  
x amp: 19.700   | y amp: 162.699  | z amp: 142.797  
x amp: 22.872   | y amp: 163.243  | z amp: 149.177  
x amp: 19.050   | y amp: 163.863  | z amp: 143.991  
x amp: 18.944   | y amp: 163.413  | z amp: 146.081  
x amp: 24.688   | y amp: 162.156  | z amp: 153.522  
x amp: 20.517   | y amp: 161.456  | z amp: 115.639  
x amp: 21.263   | y amp: 163.082  | z amp: 147.864  
x amp: 19.603   | y amp: 163.583  | z amp: 149.534  
x amp: 21.144   | y amp: 161.357  | z amp: 145.413  
x amp: 19.604   | y amp: 163.547  | z amp: 145.937  
x amp: 24.354   | y amp: 162.799  | z amp: 145.417  
x amp: 18.219   | y amp: 162.751  | z amp: 141.335  
x amp: 45.909   | y amp: 164.164  | z amp: 153.575  
x amp: 21.773   | y amp: 162.786  | z amp: 141.335  
x amp: 26.735   | y amp: 163.439  | z amp: 145.967  
x amp: 17.398   | y amp: 162.791  | z amp: 145.318  
x amp: 18.438   | y amp: 163.213  | z amp: 142.436  
x amp: 21.980   | y amp: 163.251  | z amp: 149.745  
x amp: 40.877   | y amp: 162.465  | z amp: 142.116  
x amp: 14.932   | y amp: 161.025  | z amp: 135.857  
x amp: 18.319   | y amp: 162.415  | z amp: 144.262  
x amp: 22.024   | y amp: 161.900  | z amp: 143.922  
x amp: 23.654   | y amp: 162.861  | z amp: 141.235  
x amp: 23.653   | y amp: 162.135  | z amp: 143.665  
x amp: 19.437   | y amp: 162.206  | z amp: 143.741  
x amp: 12.467   | y amp: 163.331  | z amp: 142.281  
x amp: 4.841    | y amp: 162.041  | z amp: 154.835  
x amp: 20.375   | y amp: 162.493  | z amp: 131.149  
x amp: 20.441   | y amp: 163.075  | z amp: 144.258  
x amp: 16.250   | y amp: 163.067  | z amp: 145.196  
x amp: 20.317   | y amp: 164.575  | z amp: 143.081  
x amp: 36.416   | y amp: 161.881  | z amp: 142.360  
x amp: 19.810   | y amp: 163.652  | z amp: 143.780  
x amp: 24.842   | y amp: 161.190  | z amp: 145.444  
x amp: 24.642   | y amp: 163.151  | z amp: 143.667  
x amp: 18.532   | y amp: 162.132  | z amp: 149.296  
x amp: 22.361   | y amp: 163.832  | z amp: 147.024  
x amp: 27.388   | y amp: 164.213  | z amp: 140.178  
x amp: 42.614   | y amp: 164.871  | z amp: 159.681  
x amp: 22.606   | y amp: 162.720  | z amp: 146.078  
x amp: 21.918   | y amp: 161.919  | z amp: 142.673  
x amp: 15.278   | y amp: 163.235  | z amp: 142.327  
x amp: 17.553   | y amp: 163.043  | z amp: 142.469  
x amp: 35.963   | y amp: 162.412  | z amp: 148.984  
x amp: 11.397   | y amp: 159.689  | z amp: 144.915  
x amp: 18.156   | y amp: 163.856  | z amp: 142.172  
x amp: 24.071   | y amp: 162.189  | z amp: 148.139  
x amp: 12.937   | y amp: 158.712  | z amp: 147.527  
x amp: 33.177   | y amp: 163.051  | z amp: 134.664  
x amp: 22.389   | y amp: 161.481  | z amp: 147.506  
x amp: 19.846   | y amp: 163.657  | z amp: 143.483  
x amp: 19.286   | y amp: 162.721  | z amp: 142.524  
x amp: 19.874   | y amp: 161.994  | z amp: 134.283  
x amp: 27.309   | y amp: 158.380  | z amp: 129.461  
x amp: 21.664   | y amp: 162.239  | z amp: 145.218  
x amp: 20.598   | y amp: 162.953  | z amp: 148.210  
x amp: 18.996   | y amp: 163.080  | z amp: 145.258  
x amp: 18.901   | y amp: 163.310  | z amp: 131.689  
x amp: 14.549   | y amp: 161.076  | z amp: 139.879  
x amp: 25.835   | y amp: 163.687  | z amp: 150.346  
x amp: 21.827   | y amp: 161.781  | z amp: 100.230  
x amp: 17.235   | y amp: 163.808  | z amp: 142.290  
x amp: 21.511   | y amp: 162.698  | z amp: 147.755  
x amp: 16.399   | y amp: 163.045  | z amp: 144.572  
x amp: 41.577   | y amp: 162.802  | z amp: 146.940  
x amp: 35.295   | y amp: 158.762  | z amp: 108.583  
x amp: 20.723   | y amp: 162.655  | z amp: 144.170  
