 X: 0.87824452 | Y: 1.09015441 | Z: 0.51512510 | accel X: 0.00417994 | accel Y: 0.00071456 | accel Z: -0.02208388
 X: 0.88195640 | Y: 1.08547223 | Z: 0.51940703 | accel X: 0.00260899 | accel Y: 0.00031770 | accel Z: -0.02590781
 X: 0.87891728 | Y: 1.08756208 | Z: 0.52534151 | accel X: -0.00054133 | accel Y: -0.00023786 | accel Z: -0.02112699
 X: 0.87983865 | Y: 1.08907938 | Z: 0.51407456 | accel X: 0.00368055 | accel Y: 0.00167168 | accel Z: -0.02483279
 X: 0.87673265 | Y: 1.09028494 | Z: 0.51637238 | accel X: 0.00562521 | accel Y: -0.00065217 | accel Z: -0.02464306
 X: 0.87748277 | Y: 1.08742583 | Z: 0.51477122 | accel X: 0.00687563 | accel Y: 0.00062812 | accel Z: -0.02524358
 X: 0.87079507 | Y: 1.09361875 | Z: 0.51597929 | accel X: 0.00331494 | accel Y: -0.00190062 | accel Z: -0.02288812
 X: 0.87792575 | Y: 1.09314966 | Z: 0.51853317 | accel X: 0.00331494 | accel Y: -0.00190062 | accel Z: -0.02288812
 X: 0.87333333 | Y: 1.09163916 | Z: 0.51321179 | accel X: 0.00341387 | accel Y: 0.00281746 | accel Z: -0.02235806
 X: 0.87511158 | Y: 1.08855748 | Z: 0.51833200 | accel X: 0.00374507 | accel Y: 0.00045899 | accel Z: -0.02241158
 X: 0.86939710 | Y: 1.09364414 | Z: 0.51934952 | accel X: 0.00436938 | accel Y: 0.00227905 | accel Z: -0.02213442
 X: 0.87601858 | Y: 1.08942604 | Z: 0.51860034 | accel X: 0.00412095 | accel Y: 0.00444811 | accel Z: -0.02780449
 X: 0.87971938 | Y: 1.08621264 | Z: 0.51449251 | accel X: 0.00283020 | accel Y: -0.00151489 | accel Z: -0.02145356
 X: 0.87949729 | Y: 1.08613527 | Z: 0.51564825 | accel X: 0.00544489 | accel Y: -0.00014510 | accel Z: -0.02941000
 X: 0.87731993 | Y: 1.09188437 | Z: 0.51828623 | accel X: 0.00544489 | accel Y: -0.00014510 | accel Z: -0.02941000
 X: 0.87401259 | Y: 1.09080577 | Z: 0.51816207 | accel X: 0.00295440 | accel Y: 0.00033109 | accel Z: -0.02263987
 X: 0.87689340 | Y: 1.09108531 | Z: 0.51945364 | accel X: 0.00208637 | accel Y: -0.00042666 | accel Z: -0.02680892
 X: 0.87199014 | Y: 1.09160149 | Z: 0.52096856 | accel X: 0.00105418 | accel Y: -0.00069526 | accel Z: -0.02437305
