x amp: 15.993   | y amp: 74.882   | z amp: 159.126  
x amp: 16.032   | y amp: 56.003   | z amp: 157.642  
x amp: 14.114   | y amp: 71.460   | z amp: 158.978  
x amp: 15.719   | y amp: 69.684   | z amp: 159.136  
x amp: 20.302   | y amp: 56.971   | z amp: 157.797  
x amp: 13.537   | y amp: 68.722   | z amp: 158.232  
x amp: 14.529   | y amp: 69.765   | z amp: 159.019  
x amp: 13.183   | y amp: 48.480   | z amp: 159.581  
x amp: 13.275   | y amp: 72.084   | z amp: 158.941  
x amp: 19.953   | y amp: 71.080   | z amp: 157.824  
x amp: 14.344   | y amp: 68.526   | z amp: 156.986  
x amp: 13.576   | y amp: 72.317   | z amp: 159.643  
x amp: 12.670   | y amp: 74.000   | z amp: 159.669  
x amp: 43.720   | y amp: 76.829   | z amp: 157.276  
x amp: 18.156   | y amp: 52.661   | z amp: 132.779  
x amp: 13.513   | y amp: 67.521   | z amp: 158.842  
x amp: 11.402   | y amp: 68.736   | z amp: 157.229  
x amp: 14.158   | y amp: 71.707   | z amp: 156.274  
x amp: 11.587   | y amp: 75.590   | z amp: 157.625  
x amp: 16.142   | y amp: 56.598   | z amp: 140.900  
x amp: 11.861   | y amp: 74.865   | z amp: 140.105  
x amp: 13.638   | y amp: 61.978   | z amp: 157.470  
x amp: 12.416   | y amp: 58.441   | z amp: 156.831  
x amp: 13.667   | y amp: 71.255   | z amp: 154.277  
x amp: 8.569    | y amp: 67.936   | z amp: 158.780  
x amp: 18.328   | y amp: 55.547   | z amp: 153.330  
x amp: 28.814   | y amp: 55.843   | z amp: 134.937  
x amp: 11.265   | y amp: 69.543   | z amp: 159.669  
x amp: 15.077   | y amp: 75.083   | z amp: 159.763  
x amp: 16.247   | y amp: 70.210   | z amp: 158.433  
x amp: 11.392   | y amp: 51.152   | z amp: 156.931  
x amp: 19.194   | y amp: 71.232   | z amp: 158.778  
x amp: 15.880   | y amp: 68.387   | z amp: 160.603  
x amp: 13.386   | y amp: 71.557   | z amp: 159.151  
x amp: 17.327   | y amp: 73.147   | z amp: 159.968  
x amp: 12.002   | y amp: 77.570   | z amp: 159.342  
x amp: 59.459   | y amp: 79.122   | z amp: 138.547  
x amp: 17.905   | y amp: 72.597   | z amp: 159.289  
x amp: 16.255   | y amp: 68.404   | z amp: 156.268  
x amp: 10.621   | y amp: 67.583   | z amp: 158.681  
x amp: 27.682   | y amp: 65.248   | z amp: 161.450  
x amp: 12.028   | y amp: 69.111   | z amp: 159.768  
x amp: 12.878   | y amp: 69.063   | z amp: 161.188  
x amp: 12.420   | y amp: 67.594   | z amp: 158.871  
x amp: 9.824    | y amp: 68.797   | z amp: 158.686  
x amp: 49.929   | y amp: 67.668   | z amp: 151.793  
x amp: 11.536   | y amp: 72.826   | z amp: 158.936  
x amp: 17.925   | y amp: 70.203   | z amp: 159.154  
x amp: 14.402   | y amp: 72.244   | z amp: 160.619  
x amp: 14.724   | y amp: 65.120   | z amp: 159.192  
x amp: 25.728   | y amp: 90.314   | z amp: 152.768  
x amp: 12.663   | y amp: 75.084   | z amp: 157.856  
x amp: 17.206   | y amp: 78.668   | z amp: 160.202  
x amp: 11.149   | y amp: 54.542   | z amp: 138.942  
x amp: 10.252   | y amp: 65.393   | z amp: 157.522  
x amp: 15.588   | y amp: 71.907   | z amp: 158.921  
x amp: 17.980   | y amp: 65.968   | z amp: 158.180  
