x amp: 117.920  | y amp: 72.556   | z amp: 23.511   
x amp: 118.367  | y amp: 59.976   | z amp: 14.095   
x amp: 117.567  | y amp: 61.011   | z amp: 21.685   
x amp: 120.432  | y amp: 68.918   | z amp: 22.417   
x amp: 120.648  | y amp: 67.410   | z amp: 16.144   
x amp: 105.789  | y amp: 72.169   | z amp: 24.466   
x amp: 116.766  | y amp: 92.532   | z amp: 51.499   
x amp: 118.448  | y amp: 66.909   | z amp: 8.975    
x amp: 119.456  | y amp: 64.006   | z amp: 16.297   
x amp: 114.486  | y amp: 66.454   | z amp: 19.747   
x amp: 116.364  | y amp: 62.509   | z amp: 17.535   
x amp: 118.802  | y amp: 64.025   | z amp: 17.774   
x amp: 85.723   | y amp: 74.108   | z amp: 16.484   
x amp: 100.867  | y amp: 56.219   | z amp: 43.199   
x amp: 119.697  | y amp: 67.795   | z amp: 22.927   
x amp: 116.955  | y amp: 69.701   | z amp: 32.869   
x amp: 119.566  | y amp: 77.993   | z amp: 17.749   
x amp: 127.371  | y amp: 66.365   | z amp: 34.292   
x amp: 116.473  | y amp: 68.769   | z amp: 17.865   
x amp: 130.027  | y amp: 64.348   | z amp: 10.740   
x amp: 129.101  | y amp: 49.749   | z amp: 26.264   
x amp: 117.710  | y amp: 79.902   | z amp: 20.666   
x amp: 119.973  | y amp: 69.342   | z amp: 20.980   
x amp: 121.232  | y amp: 65.590   | z amp: 18.258   
x amp: 119.888  | y amp: 69.639   | z amp: 39.727   
x amp: 118.070  | y amp: 69.995   | z amp: 15.282   
x amp: 136.622  | y amp: 53.565   | z amp: 16.417   
x amp: 134.658  | y amp: 77.155   | z amp: 22.760   
x amp: 117.658  | y amp: 68.646   | z amp: 17.187   
x amp: 115.702  | y amp: 67.615   | z amp: 6.884    
x amp: 119.228  | y amp: 70.777   | z amp: 16.150   
x amp: 118.971  | y amp: 82.924   | z amp: 27.959   
x amp: 124.299  | y amp: 73.605   | z amp: 25.942   
x amp: 91.194   | y amp: 64.189   | z amp: 10.077   
x amp: 109.011  | y amp: 68.812   | z amp: 68.345   
x amp: 116.041  | y amp: 70.243   | z amp: 21.218   
x amp: 119.160  | y amp: 65.811   | z amp: 13.171   
x amp: 120.701  | y amp: 65.260   | z amp: 22.655   
x amp: 120.133  | y amp: 71.424   | z amp: 21.528   
