 X: 0.19064905 | Y: 0.43497664 | Z: 0.22266865
 X: 0.21370234 | Y: 0.48541087 | Z: 0.29724038
 X: 0.19722734 | Y: 0.44371417 | Z: 0.23663341
 X: 0.19232705 | Y: 0.42973629 | Z: 0.21859734
 X: 0.19311324 | Y: 0.43511382 | Z: 0.22431532
 X: 0.19287071 | Y: 0.43780649 | Z: 0.22648889
 X: 0.19332919 | Y: 0.43316302 | Z: 0.22237119
 X: 0.19385354 | Y: 0.43426818 | Z: 0.22305307
 X: 0.19559549 | Y: 0.42672831 | Z: 0.21680494
 X: 0.25546768 | Y: 0.58211601 | Z: 0.63438457
 X: 0.18989889 | Y: 0.43647972 | Z: 0.22314678
 X: 0.19393729 | Y: 0.44469258 | Z: 0.23413622
 X: 0.18865967 | Y: 0.43775639 | Z: 0.22481596
 X: 0.18620014 | Y: 0.42370838 | Z: 0.20921378
 X: 0.19158277 | Y: 0.43704489 | Z: 0.22399688
 X: 0.18912734 | Y: 0.42671806 | Z: 0.21445568
 X: 0.22734326 | Y: 0.52208495 | Z: 0.36328647
 X: 0.18974656 | Y: 0.43366247 | Z: 0.22208013
 X: 0.19503047 | Y: 0.43617290 | Z: 0.22801107
 X: 0.19441904 | Y: 0.44140819 | Z: 0.23102897
 X: 0.19347641 | Y: 0.43948668 | Z: 0.22878000
 X: 0.19695160 | Y: 0.44107637 | Z: 0.23340443
 X: 0.19547094 | Y: 0.43654850 | Z: 0.22769754
 X: 0.24919207 | Y: 0.57917035 | Z: 0.77558649
 X: 0.25566280 | Y: 0.58041620 | Z: 0.68855810
 X: 0.19283608 | Y: 0.43298355 | Z: 0.22177488
 X: 0.18138416 | Y: 0.41619986 | Z: 0.19869976
 X: 0.18977949 | Y: 0.43405089 | Z: 0.22053786
 X: 0.18735950 | Y: 0.42124021 | Z: 0.20737791
 X: 0.19396199 | Y: 0.44447684 | Z: 0.23236068
 X: 0.19239934 | Y: 0.44289061 | Z: 0.23090041
 X: 0.22060759 | Y: 0.50931615 | Z: 0.33652422
 X: 0.19308250 | Y: 0.43368235 | Z: 0.22285016
 X: 0.19413976 | Y: 0.43764752 | Z: 0.22508396
 X: 0.19234550 | Y: 0.43018416 | Z: 0.21667919
 X: 0.19459277 | Y: 0.43710077 | Z: 0.22756386
 X: 0.19514821 | Y: 0.43960005 | Z: 0.22871271
 X: 0.19276538 | Y: 0.43985379 | Z: 0.22698757
 X: 0.19424480 | Y: 0.43655300 | Z: 0.22691731
 X: 0.24750014 | Y: 0.57885408 | Z: 0.79310495
 X: 0.19157717 | Y: 0.43953863 | Z: 0.22522885
 X: 0.18998909 | Y: 0.42957753 | Z: 0.21679355
 X: 0.19404805 | Y: 0.43647650 | Z: 0.22651155
 X: 0.19271833 | Y: 0.43370792 | Z: 0.22328998
 X: 0.25488469 | Y: 0.58461350 | Z: 0.69999468
 X: 0.19776990 | Y: 0.44294450 | Z: 0.23663272
 X: 0.19301952 | Y: 0.43754035 | Z: 0.22527657
 X: 0.19409719 | Y: 0.43589881 | Z: 0.22577545
 X: 0.19336973 | Y: 0.43365708 | Z: 0.22203070
 X: 0.20108803 | Y: 0.44638062 | Z: 0.24026141
 X: 0.19695912 | Y: 0.44085261 | Z: 0.23255558
 X: 0.19835663 | Y: 0.43830886 | Z: 0.23139414
 X: 0.25790748 | Y: 0.58215076 | Z: 0.70731068
 X: 0.19581681 | Y: 0.43764034 | Z: 0.22714150
 X: 0.19036143 | Y: 0.43168518 | Z: 0.21902667
 X: 0.19615112 | Y: 0.43672714 | Z: 0.22556537
 X: 0.19371307 | Y: 0.43598336 | Z: 0.22457108
 X: 0.19628818 | Y: 0.43549815 | Z: 0.22585680
 X: 0.19971424 | Y: 0.44686797 | Z: 0.24068853
 X: 0.18250161 | Y: 0.40791315 | Z: 0.19165397
 X: 0.19926955 | Y: 0.44505879 | Z: 0.23972124
 X: 0.19294190 | Y: 0.43692985 | Z: 0.22468691
 X: 0.19073735 | Y: 0.43807578 | Z: 0.22458005
 X: 0.18780914 | Y: 0.43826210 | Z: 0.22401734
 X: 0.19856377 | Y: 0.45272654 | Z: 0.24700169
 X: 0.19165038 | Y: 0.43445587 | Z: 0.22403489
 X: 0.19768305 | Y: 0.44725025 | Z: 0.23990229
 X: 0.24712633 | Y: 0.58099276 | Z: 0.73886883
 X: 0.19351907 | Y: 0.44224483 | Z: 0.23159446
 X: 0.19338708 | Y: 0.43710718 | Z: 0.22675569
 X: 0.19233528 | Y: 0.44040573 | Z: 0.22895700
 X: 0.19216816 | Y: 0.43527985 | Z: 0.22450989
 X: 0.19143951 | Y: 0.44216719 | Z: 0.23113273
 X: 0.19452830 | Y: 0.44357252 | Z: 0.23540044
 X: 0.18927269 | Y: 0.42590818 | Z: 0.21123520
 X: 0.19815664 | Y: 0.45217249 | Z: 0.24425274
 X: 0.18806589 | Y: 0.43394849 | Z: 0.21914159
 X: 0.19618802 | Y: 0.44508719 | Z: 0.23555017
 X: 0.19075239 | Y: 0.43363735 | Z: 0.22155853
 X: 0.19268969 | Y: 0.43258232 | Z: 0.22107372
 X: 0.19381833 | Y: 0.43778777 | Z: 0.22597514
 X: 0.20419183 | Y: 0.45516813 | Z: 0.25436625
