x amp: 9.099    | y amp: 5.337    | z amp: 5.682    
x amp: 0.207    | y amp: 3.185    | z amp: 7.613    
x amp: 2.432    | y amp: 3.411    | z amp: 7.164    
x amp: 7.578    | y amp: 6.320    | z amp: 6.222    
x amp: 0.889    | y amp: 2.338    | z amp: 7.178    
x amp: 2.049    | y amp: 1.742    | z amp: 10.057   
x amp: 3.743    | y amp: 7.672    | z amp: 1.379    
x amp: 2.475    | y amp: 1.500    | z amp: 3.125    
x amp: 1.955    | y amp: 4.263    | z amp: 8.099    
x amp: 3.845    | y amp: 8.748    | z amp: 8.483    
x amp: 3.779    | y amp: 5.232    | z amp: 3.056    
x amp: 0.705    | y amp: 4.828    | z amp: 9.248    
x amp: 1.294    | y amp: 8.565    | z amp: 4.911    
x amp: 2.120    | y amp: 5.136    | z amp: 3.743    
x amp: 1.263    | y amp: 2.622    | z amp: 18.814   
x amp: 2.929    | y amp: 8.725    | z amp: 3.316    
x amp: 4.867    | y amp: 2.844    | z amp: 2.576    
x amp: 3.819    | y amp: 3.722    | z amp: 28.123   
x amp: 5.833    | y amp: 12.638   | z amp: 1.810    
x amp: 5.592    | y amp: 5.117    | z amp: 3.741    
x amp: 2.459    | y amp: 3.147    | z amp: 29.500   
x amp: 1.847    | y amp: 11.642   | z amp: 10.472   
x amp: 1.808    | y amp: 2.028    | z amp: 10.744   
x amp: 0.798    | y amp: 2.391    | z amp: 24.361   
x amp: 1.205    | y amp: 12.850   | z amp: 8.068    
x amp: 2.272    | y amp: 3.314    | z amp: 2.744    
x amp: 0.804    | y amp: 1.636    | z amp: 16.235   
x amp: 3.137    | y amp: 16.063   | z amp: 9.384    
x amp: 4.747    | y amp: 4.000    | z amp: 6.945    
x amp: 1.996    | y amp: 3.279    | z amp: 7.761    
x amp: 0.813    | y amp: 14.049   | z amp: 14.427   
x amp: 5.110    | y amp: 3.237    | z amp: 3.638    
x amp: 0.125    | y amp: 1.019    | z amp: 1.587    
x amp: 1.352    | y amp: 15.086   | z amp: 13.179   
x amp: 7.409    | y amp: 9.147    | z amp: 2.233    
x amp: 1.693    | y amp: 1.964    | z amp: 6.674    
x amp: 2.200    | y amp: 4.866    | z amp: 7.987    
x amp: 9.232    | y amp: 9.944    | z amp: 5.047    
x amp: 2.377    | y amp: 1.918    | z amp: 3.258    
x amp: 5.226    | y amp: 3.204    | z amp: 7.623    
x amp: 10.910   | y amp: 8.211    | z amp: 4.842    
x amp: 2.069    | y amp: 1.297    | z amp: 3.032    
x amp: 4.425    | y amp: 0.993    | z amp: 13.012   
x amp: 10.380   | y amp: 8.934    | z amp: 1.678    
x amp: 2.482    | y amp: 3.948    | z amp: 6.942    
x amp: 4.255    | y amp: 1.868    | z amp: 4.699    
x amp: 2.502    | y amp: 7.146    | z amp: 8.505    
x amp: 3.650    | y amp: 1.496    | z amp: 4.649    
x amp: 2.098    | y amp: 3.605    | z amp: 10.336   
x amp: 2.270    | y amp: 8.405    | z amp: 7.967    
x amp: 0.664    | y amp: 1.881    | z amp: 4.574    
x amp: 2.893    | y amp: 3.628    | z amp: 16.969   
x amp: 0.914    | y amp: 14.168   | z amp: 4.748    
x amp: 1.479    | y amp: 4.187    | z amp: 7.011    
x amp: 2.476    | y amp: 0.501    | z amp: 17.613   
x amp: 1.749    | y amp: 10.633   | z amp: 7.261    
x amp: 3.036    | y amp: 5.508    | z amp: 1.341    
x amp: 1.371    | y amp: 1.959    | z amp: 22.625   
x amp: 1.501    | y amp: 11.588   | z amp: 8.593    
x amp: 2.153    | y amp: 3.836    | z amp: 3.549    
x amp: 1.858    | y amp: 4.639    | z amp: 26.963   
x amp: 2.342    | y amp: 7.702    | z amp: 1.788    
x amp: 2.886    | y amp: 3.730    | z amp: 3.749    
x amp: 2.568    | y amp: 2.819    | z amp: 21.038   
x amp: 2.034    | y amp: 13.920   | z amp: 3.090    
x amp: 1.985    | y amp: 1.994    | z amp: 5.827    
x amp: 3.414    | y amp: 1.809    | z amp: 14.838   
x amp: 5.257    | y amp: 15.822   | z amp: 8.532    
x amp: 1.067    | y amp: 1.877    | z amp: 3.804    
x amp: 2.045    | y amp: 3.738    | z amp: 14.253   
x amp: 2.606    | y amp: 13.519   | z amp: 7.733    
x amp: 6.341    | y amp: 3.684    | z amp: 10.909   
x amp: 0.869    | y amp: 1.323    | z amp: 15.597   
x amp: 2.063    | y amp: 16.002   | z amp: 6.595    
x amp: 5.631    | y amp: 2.441    | z amp: 3.120    
x amp: 2.433    | y amp: 3.532    | z amp: 3.953    
x amp: 0.443    | y amp: 11.706   | z amp: 15.641   
x amp: 8.735    | y amp: 6.189    | z amp: 7.426    
x amp: 2.554    | y amp: 4.476    | z amp: 10.047   
x amp: 1.593    | y amp: 4.919    | z amp: 14.610   
x amp: 9.991    | y amp: 4.681    | z amp: 2.805    
x amp: 3.902    | y amp: 5.825    | z amp: 6.326    
x amp: 1.520    | y amp: 4.342    | z amp: 14.910   
x amp: 7.672    | y amp: 3.843    | z amp: 2.597    
x amp: 2.371    | y amp: 6.583    | z amp: 4.965    
x amp: 0.540    | y amp: 4.236    | z amp: 16.731   
x amp: 3.580    | y amp: 2.394    | z amp: 0.641    
x amp: 0.817    | y amp: 3.747    | z amp: 1.704    
x amp: 1.489    | y amp: 2.234    | z amp: 9.952    
x amp: 1.117    | y amp: 12.780   | z amp: 6.186    
