DATA,-161.565491,155.997818,-157.562912,-0.144213,0.017190,-0.004846,0.989385
DATA,-161.308075,154.508926,-157.110809,-0.144199,0.017245,-0.004872,0.989386
DATA,-161.343552,153.593063,-156.836166,-0.144188,0.017276,-0.005092,0.989386
DATA,-163.290665,153.682007,-158.171860,-0.144286,0.017373,-0.005004,0.989371
DATA,-162.765472,154.168304,-158.289276,-0.144386,0.017375,-0.004937,0.989357
DATA,-163.396896,156.229919,-158.526672,-0.144364,0.017354,-0.005166,0.989359
DATA,-163.587479,154.534012,-157.407700,-0.144291,0.017450,-0.005170,0.989368
DATA,-162.136398,154.491562,-156.774628,-0.144333,0.017279,-0.005149,0.989365
DATA,-163.217575,153.842651,-156.921951,-0.144528,0.017303,-0.004894,0.989337
DATA,-162.566132,155.301758,-156.631088,-0.144476,0.017186,-0.004943,0.989347
DATA,-161.081116,153.811661,-156.599243,-0.144355,0.017281,-0.005100,0.989362
DATA,-162.840881,155.331985,-157.812057,-0.144266,0.017248,-0.005106,0.989375
DATA,-162.140167,154.472427,-157.005020,-0.144386,0.017174,-0.004938,0.989360
DATA,-162.372543,154.150986,-157.565277,-0.144376,0.017201,-0.004977,0.989361
DATA,-164.521790,157.820953,-158.561371,-0.144285,0.017340,-0.004844,0.989372
DATA,-164.499954,156.008545,-157.727859,-0.144282,0.017351,-0.004812,0.989373
DATA,-162.088501,156.055359,-158.408096,-0.144311,0.017179,-0.004728,0.989372
DATA,-163.035324,157.027252,-157.712814,-0.144259,0.017159,-0.004761,0.989380
DATA,-162.477814,155.076965,-155.593094,-0.144237,0.017190,-0.004755,0.989382
DATA,-162.692062,153.161377,-157.225662,-0.144321,0.017132,-0.004682,0.989372
DATA,-163.432892,156.339050,-158.802444,-0.144440,0.017207,-0.004542,0.989354
DATA,-161.384109,154.235153,-156.464294,-0.144398,0.017190,-0.004554,0.989360
DATA,-161.992264,154.228027,-157.336670,-0.144299,0.017252,-0.004596,0.989373
DATA,-162.380630,155.716293,-155.874954,-0.144308,0.017259,-0.004504,0.989372
DATA,-162.791992,157.596375,-158.497910,-0.144437,0.017195,-0.004385,0.989355
DATA,-163.970978,154.856857,-157.853256,-0.144559,0.017225,-0.004229,0.989337
DATA,-162.954422,154.923370,-156.988022,-0.144509,0.017074,-0.004232,0.989347
DATA,-162.994965,155.999771,-157.601700,-0.144602,0.017080,-0.004205,0.989334
DATA,-161.904343,154.794601,-157.976974,-0.144643,0.016994,-0.004256,0.989329
DATA,-164.093979,154.894699,-158.953964,-0.144549,0.016804,-0.004232,0.989346
DATA,-163.442017,154.597366,-157.822891,-0.144606,0.016834,-0.004235,0.989337
DATA,-160.110352,155.477982,-156.090607,-0.144722,0.016813,-0.004327,0.989320
DATA,-164.760941,156.102829,-157.987076,-0.144595,0.016661,-0.004321,0.989341
DATA,-164.109436,155.765915,-157.984543,-0.144593,0.016711,-0.004394,0.989340
DATA,-161.692154,154.760818,-156.380829,-0.144517,0.016625,-0.004387,0.989353
DATA,-162.571289,156.511002,-158.075806,-0.144484,0.016627,-0.004397,0.989358
DATA,-162.439377,154.550049,-157.876846,-0.144428,0.016603,-0.004393,0.989366
DATA,-163.622162,156.153183,-158.799210,-0.144427,0.016621,-0.004314,0.989366
DATA,-162.118942,156.544571,-158.518951,-0.144371,0.016658,-0.004266,0.989374
DATA,-161.976761,155.063492,-157.126999,-0.144412,0.016708,-0.004235,0.989367
DATA,-164.118576,153.470825,-158.436935,-0.144480,0.016698,-0.004132,0.989358
DATA,-163.551544,156.330856,-158.382690,-0.144562,0.016733,-0.003997,0.989346
DATA,-163.309525,157.106827,-158.084549,-0.144566,0.016868,-0.003942,0.989344
DATA,-160.834686,154.785751,-157.095154,-0.144587,0.016808,-0.003909,0.989342
DATA,-163.464005,156.411209,-158.046600,-0.144564,0.016826,-0.003939,0.989344
DATA,-163.891129,154.662964,-158.318802,-0.144551,0.016721,-0.003973,0.989348
DATA,-162.614822,154.175552,-158.015457,-0.144545,0.016757,-0.003946,0.989349
DATA,-163.748489,156.546295,-158.766602,-0.144615,0.016747,-0.004013,0.989338
DATA,-162.870911,154.462616,-158.486511,-0.144625,0.016742,-0.004115,0.989336
DATA,-163.789108,154.461105,-157.619522,-0.144641,0.016840,-0.004077,0.989332
DATA,-163.213867,156.020691,-156.766937,-0.144587,0.016902,-0.004139,0.989339
DATA,-162.426956,156.232788,-157.144867,-0.144764,0.016927,-0.004051,0.989313
DATA,-161.520233,155.523285,-157.864502,-0.144710,0.016855,-0.004122,0.989322
DATA,-163.309036,155.733826,-159.068817,-0.144713,0.016772,-0.004117,0.989323
DATA,-162.104797,154.461975,-157.464981,-0.144689,0.016767,-0.004042,0.989327
DATA,-162.227249,155.079575,-156.978973,-0.144581,0.016814,-0.004102,0.989342
